Date,Forecasted_NIFTY_Close
2025-05-01,24334.231012895696
2025-05-02,24354.0867186014
2025-05-05,24406.42737655021
2025-05-06,24413.448801265222
2025-05-07,24399.725519717766
2025-05-08,24378.15826906935
2025-05-09,24403.278624069353
2025-05-12,24422.557867916
2025-05-13,24449.437059751763
2025-05-14,24468.825278310167
2025-05-15,24459.69283833582
2025-05-16,24470.66483186212
2025-05-19,24472.342479560302
2025-05-20,24487.420728128443
2025-05-21,24492.517762242784
2025-05-22,24495.072136818075
2025-05-23,24504.265262370453
2025-05-26,24517.945150686577
2025-05-27,24522.54235556035
2025-05-28,24529.00099751108
2025-05-29,24532.174177548106
2025-05-30,24539.092805654385
2025-06-02,24547.97236543217
2025-06-03,24555.118367588548
2025-06-04,24562.753775667545
2025-06-05,24569.48584662158
2025-06-06,24575.63398640716
2025-06-09,24583.197806285356
2025-06-10,24590.05354417803
2025-06-11,24596.96985985843
