Date,Portfolio_Growth (%)
2015-01-02,1.0
2015-01-05,0.9740881614369952
2015-01-06,0.9592391440714788
2015-01-07,0.9608600688791198
2015-01-08,0.983992083319842
2015-01-09,0.9819284827995103
2015-01-12,0.9659142890157426
2015-01-13,0.9714077392142884
2015-01-14,0.9612896787130939
2015-01-15,0.9464998350938112
2015-01-16,0.9542121812845601
2015-01-20,0.9511993049965346
2015-01-21,1.0096270676124697
2015-01-22,1.0298301119575581
2015-01-23,1.0373539083453698
2015-01-26,1.0579578389812596
2015-01-27,1.0548288273704467
2015-01-28,1.0340858995992785
2015-01-29,1.0463993776258347
2015-01-30,1.027741669101224
2015-02-02,1.0447613351846543
2015-02-03,1.0737811733567642
2015-02-04,1.0796842552741144
2015-02-05,1.1225571367353668
2015-02-06,1.091853523818251
2015-02-09,1.086778438734639
2015-02-10,1.10718379541137
2015-02-11,1.1071944682684518
2015-02-12,1.1212684805575022
2015-02-13,1.1306964129404562
2015-02-17,1.1325756547110444
2015-02-18,1.1290302706030682
2015-02-19,1.1362746609895127
2015-02-20,1.1471701578515
2015-02-23,1.134405290348319
2015-02-24,1.1390970994191778
2015-02-25,1.1373181529467977
2015-02-26,1.175348257524974
2015-02-27,1.1647822948273188
2015-03-02,1.178015406523462
2015-03-03,1.165858838253853
2015-03-04,1.1637540007535856
2015-03-05,1.162254948440443
2015-03-06,1.1354148095526728
2015-03-09,1.127619371631821
2015-03-10,1.1201796749112982
2015-03-11,1.1181349496071884
2015-03-12,1.115198303567935
2015-03-13,1.1046439496165543
2015-03-16,1.1147916391339632
2015-03-17,1.1139219855717017
2015-03-18,1.1194159953458236
2015-03-19,1.1219249174796864
2015-03-20,1.1353880052844696
2015-03-23,1.1326533669309042
2015-03-24,1.1327080409412185
2015-03-25,1.0736054049671524
2015-03-26,1.0694197083144483
2015-03-27,1.0787963826634583
2015-03-30,1.0924185022235706
2015-03-31,1.0734099310967795
2015-04-01,1.0691339583655677
2015-04-02,1.0720718012958224
2015-04-06,1.096251799744897
2015-04-07,1.0985757734782173
2015-04-08,1.1174771802549206
2015-04-09,1.1252990997402468
2015-04-10,1.1391574895020882
2015-04-13,1.1461367976161176
2015-04-14,1.133465954638528
2015-04-15,1.1407068915265415
2015-04-16,1.199510811280931
2015-04-17,1.1734801213589587
2015-04-20,1.1642330185547833
2015-04-21,1.153379906351034
2015-04-22,1.1677765844246015
2015-04-23,1.1629995194289207
2015-04-24,1.1491995397983015
2015-04-27,1.1715503367336297
2015-04-28,1.1622941237960567
2015-04-29,1.159194873847508
2015-04-30,1.1485170525943205
2015-05-01,1.1698417604830122
2015-05-04,1.168038443978401
2015-05-05,1.1596259161387157
2015-05-06,1.1558808270234269
2015-05-07,1.1818955895836065
2015-05-08,1.1715437376817082
2015-05-11,1.1806911330111427
2015-05-12,1.1863762330138183
2015-05-13,1.1859803634419712
2015-05-14,1.1986774316699151
2015-05-15,1.2193402241399038
2015-05-18,1.22847114471863
2015-05-19,1.2172589123269726
2015-05-20,1.219885974612391
2015-05-21,1.2183706793770062
2015-05-22,1.2254322254045849
2015-05-26,1.213329314101095
2015-05-27,1.2566660957648599
2015-05-28,1.2629378420956925
2015-05-29,1.2729373921022216
2015-06-01,1.2684494017798875
2015-06-02,1.2624145726003755
2015-06-03,1.2556279402325217
2015-06-04,1.2588983022170308
2015-06-05,1.273198312088867
2015-06-08,1.259369643723111
2015-06-09,1.2732745497485356
2015-06-10,1.2858361110698595
2015-06-11,1.2839123033661692
2015-06-12,1.2708963959058086
2015-06-15,1.27229999220186
2015-06-16,1.2847592479761731
2015-06-17,1.2962644699732737
2015-06-18,1.3114435159648572
2015-06-19,1.3120917166914605
2015-06-22,1.322694863013496
2015-06-23,1.323896324129726
2015-06-24,1.315463287060205
2015-06-25,1.307642936626779
2015-06-26,1.2781946880792494
2015-06-29,1.2479599996974233
2015-06-30,1.2663721667185572
2015-07-01,1.2758445361607127
2015-07-02,1.3001112722910828
2015-07-06,1.2881006101502335
2015-07-07,1.2404198606346122
2015-07-08,1.2093383439192855
2015-07-09,1.2095790806075652
2015-07-10,1.2289153521966392
2015-07-13,1.2471142959710317
2015-07-14,1.2605007346185257
2015-07-15,1.2399273270118167
2015-07-16,1.3176751264720639
2015-07-17,1.3115169469422876
2015-07-20,1.3005477093107163
2015-07-21,1.2949198181552855
2015-07-22,1.277515003842535
2015-07-23,1.2761800191894104
2015-07-24,1.2554979389245098
2015-07-27,1.2200230714028508
2015-07-28,1.255620996665685
2015-07-29,1.2723676373203174
2015-07-30,1.289441818879347
2015-07-31,1.2941806193931813
2015-08-03,1.3064633115509057
2015-08-04,1.3375594689505572
2015-08-05,1.3582329157097466
2015-08-06,1.3393450791277486
2015-08-07,1.3464880087805606
2015-08-10,1.3486874871938188
2015-08-11,1.3345119757156512
2015-08-12,1.3299278605608504
2015-08-13,1.333500840203048
2015-08-14,1.3322083855319995
2015-08-17,1.3535368415945792
2015-08-18,1.3438723398541643
2015-08-19,1.3284270104491596
2015-08-20,1.2495460346096183
2015-08-21,1.1969005582425731
2015-08-24,1.1448269041739803
2015-08-25,1.1506299029547025
2015-08-26,1.2246227441814255
2015-08-27,1.304129522286594
2015-08-28,1.3179702711137815
2015-08-31,1.2992904729130206
2015-09-01,1.2228872099217114
2015-09-02,1.2500292491031708
2015-09-03,1.2320773874271722
2015-09-04,1.211495832888984
2015-09-08,1.2315196291403514
2015-09-09,1.2384713486227659
2015-09-10,1.2451083825420326
2015-09-11,1.2569548240437634
2015-09-14,1.238727988514525
2015-09-15,1.2648510415159837
2015-09-16,1.2905686181851042
2015-09-17,1.2912540507479269
2015-09-18,1.275821007271616
2015-09-21,1.2670083018525726
2015-09-22,1.239226555493698
2015-09-23,1.238255296432571
2015-09-24,1.2659553731242572
2015-09-25,1.2604088818652972
2015-09-28,1.2229671843546113
2015-09-29,1.2193149975965434
2015-09-30,1.2643655993448568
2015-10-01,1.2585031207677737
2015-10-02,1.2814163614658696
2015-10-05,1.3004403861892062
2015-10-06,1.2817611625874785
2015-10-07,1.2801618011942744
2015-10-08,1.3056234415661558
2015-10-09,1.2953982155675667
2015-10-12,1.2887985082800129
2015-10-13,1.2729499629217467
2015-10-14,1.2926526511414618
2015-10-15,1.271027170944715
2015-10-16,1.268226262679414
2015-10-19,1.280583565651261
2015-10-20,1.2582176154161238
2015-10-21,1.2550386186914138
2015-10-22,1.2764609673393603
2015-10-23,1.3005791293362257
2015-10-26,1.3005270806303184
2015-10-27,1.29173486650113
2015-10-28,1.320790508890849
2015-10-29,1.289280550291367
2015-10-30,1.3102548456142962
2015-11-02,1.3234028119866919
2015-11-03,1.328304765861325
2015-11-04,1.3601017026726328
2015-11-05,1.3487488093493984
2015-11-06,1.4031448892055713
2015-11-09,1.3691613166978758
2015-11-10,1.3465324169584452
